Time	Vin
0.02257	0.715781
0.02258	0.717188
0.02258	0.719219
0.02258	0.721094
0.02259	0.720469
0.02259	0.719844
0.0226	0.72125
0.0226	0.724063
0.0226	0.724531
0.02261	0.723594
0.02261	0.724531
0.02262	0.724063
0.02262	0.723594
0.02262	0.725156
0.02263	0.725625
0.02263	0.724844
0.02264	0.726094
0.02264	0.727969
0.02264	0.728125
0.02265	0.727188
0.02265	0.727188
0.02266	0.727969
0.02266	0.729375
0.02266	0.729688
0.02267	0.729688
0.02267	0.730156
0.02268	0.730469
0.02268	0.729688
0.02268	0.728906
0.02269	0.728906
0.02269	0.730469
0.0227	0.732188
0.0227	0.731719
0.0227	0.732031
0.02271	0.730156
0.02271	0.732656
0.02272	0.734688
0.02272	0.735469
0.02272	0.736094
0.02273	0.735469
0.02273	0.735781
0.02274	0.736563
0.02274	0.73625
0.02274	0.739063
0.02275	0.736563
0.02275	0.7375
0.02276	0.739063
0.02276	0.739375
0.02276	0.736094
0.02277	0.738281
0.02277	0.739375
0.02278	0.741875
0.02278	0.743125
0.02278	0.743594
0.02279	0.744375
0.02279	0.745938
0.0228	0.745469
0.0228	0.747188
0.0228	0.74625
0.02281	0.746719
0.02281	0.745938
0.02282	0.747656
0.02282	0.750938
0.02282	0.751563
0.02283	0.75
0.02283	0.75
0.02284	0.750469
0.02284	0.750469
0.02284	0.749688
0.02285	0.750938
0.02285	0.75125
0.02286	0.75375
0.02286	0.75125
0.02286	0.751719
0.02287	0.751563
0.02287	0.753594
0.02288	0.754063
0.02288	0.754844
0.02288	0.756563
0.02289	0.758125
0.02289	0.758906
0.0229	0.759688
0.0229	0.758906
0.0229	0.756875
0.02291	0.756563
0.02291	0.757031
0.02292	0.759844
0.02292	0.763438
0.02292	0.763125
0.02293	0.761875
0.02293	0.761406
0.02294	0.762969
0.02294	0.76375
0.02294	0.76375
0.02295	0.763438
0.02295	0.765781
0.02296	0.7675
0.02296	0.765938
0.02296	0.765
0.02297	0.765781
0.02297	0.765781
0.02298	0.767969
0.02298	0.767031
0.02298	0.767031
0.02299	0.765156
0.02299	0.765156
0.023	0.76625
0.023	0.768281
0.023	0.769219
0.02301	0.768281
0.02301	0.769219
0.02302	0.767813
0.02302	0.768594
0.02302	0.768594
0.02303	0.771563
0.02303	0.772813
0.02304	0.773906
0.02304	0.776719
0.02304	0.776719
0.02305	0.775313
0.02305	0.775625
0.02306	0.775938
0.02306	0.778906
0.02306	0.77875
0.02307	0.778906
0.02307	0.779688
0.02308	0.780938
0.02308	0.782031
0.02308	0.78375
0.02309	0.785
0.02309	0.784531
0.0231	0.782969
0.0231	0.783438
0.0231	0.782188
0.02311	0.782031
0.02311	0.782969
0.02312	0.784531
0.02312	0.784063
0.02312	0.785313
0.02313	0.786875
0.02313	0.788125
0.02314	0.789844
0.02314	0.789531
0.02314	0.789844
0.02315	0.788125
0.02315	0.787813
0.02316	0.7875
0.02316	0.789062
0.02316	0.790313
0.02317	0.792656
0.02317	0.793125
0.02318	0.792344
0.02318	0.793906
0.02318	0.794219
0.02319	0.793906
0.02319	0.795469
0.0232	0.793438
0.0232	0.792969
0.0232	0.793438
0.02321	0.794688
0.02321	0.795938
0.02322	0.796406
0.02322	0.79625
0.02322	0.7975
0.02323	0.799063
0.02323	0.801094
0.02324	0.799688
0.02324	0.799688
0.02324	0.8025
0.02325	0.800781
0.02325	0.803125
0.02326	0.802344
0.02326	0.80125
0.02326	0.802344
0.02327	0.8025
0.02327	0.804063
0.02328	0.802813
0.02328	0.802344
